chunk,chunk_size,local_tokens,context_len,case,cache,timing,mean_us,median_us,queries_per_second,p05_us,p95_us,l2_flush_bytes,speedup_vs_trtllm
3,16384,2048,65536,trtllm/native,warm,cuda-event,418.96255880594254,418.2719886302948,4896335.532069781,417.85440742969513,419.7039991617203,0,1.0
3,16384,2048,65536,flashmla-prefill/native,warm,cuda-event,551.563521027565,550.3840148448944,3721038.301915716,549.0559935569763,556.5295904874802,0,0.7599639112850497
3,16384,2048,65536,flashmla-decode/native,warm,cuda-event,810.9622377157211,810.591995716095,2526548.5112405424,803.5759806632996,825.7167905569077,0,0.5160080420739709
3,16384,2048,65536,trtllm/native,cold,cuda-event,433.46943974494934,433.50400030612946,4724293.198110639,432.2544127702713,434.6912011504173,268435456,1.0
3,16384,2048,65536,flashmla-prefill/native,cold,cuda-event,543.1126445531845,542.9440140724182,3772027.956692486,541.8127834796906,544.7695761919022,268435456,0.7984322307093498
3,16384,2048,65536,flashmla-decode/native,cold,cuda-event,801.984960436821,805.8559894561768,2541397.007400877,787.9599809646606,809.0112209320068,268435456,0.5379422700558135
3,32768,512,131072,trtllm/native,warm,cuda-event,130.96128031611443,130.11200726032257,3935071.103588558,129.34400141239166,131.5216027200222,0,1.0
3,32768,512,131072,flashmla-prefill/native,warm,cuda-event,162.2678406536579,162.1440052986145,3157686.891088381,161.8224024772644,162.8576025366783,0,0.8024472259748375
3,32768,512,131072,flashmla-decode/native,warm,cuda-event,221.6995194554329,221.53599560260773,2311136.8362838333,221.03039920330048,222.52799570560455,0,0.5873176812932833
3,32768,512,131072,trtllm/native,cold,cuda-event,137.6931193470955,137.472003698349,3724394.6856515408,136.2160012125969,139.2991952598095,268435456,1.0
3,32768,512,131072,flashmla-prefill/native,cold,cuda-event,168.66240039467812,168.46399754285812,3039225.0419544065,167.93599724769592,170.01600563526154,268435456,0.8160319457181076
3,32768,512,131072,flashmla-decode/native,cold,cuda-event,216.91135972738266,216.92800521850586,2360230.0656583086,215.96639826893806,218.1120067834854,268435456,0.6337217896779951
3,32768,1024,131072,trtllm/native,warm,cuda-event,222.38015934824944,221.53599560260773,4622273.6725676665,221.27839401364326,223.48960265517235,0,1.0
3,32768,1024,131072,flashmla-prefill/native,warm,cuda-event,285.3670397400856,284.36800837516785,3600967.654030311,278.7808060646057,299.4287922978401,0,0.7790468304378825
3,32768,1024,131072,flashmla-decode/native,warm,cuda-event,429.93311911821365,432.97599256038666,2365027.201495898,422.1744030714035,434.91679579019547,0,0.5116588434674247
3,32768,1024,131072,trtllm/native,cold,cuda-event,239.13792088627815,237.64800280332565,4308893.775334813,233.47200453281403,244.6623995900154,268435456,1.0
3,32768,1024,131072,flashmla-prefill/native,cold,cuda-event,287.5926402211189,286.75198554992676,3571030.1989232786,284.7039997577667,290.82080870866776,268435456,0.8287580026606248
3,32768,1024,131072,flashmla-decode/native,cold,cuda-event,409.66720163822174,406.6399931907654,2518197.956784873,404.47840988636017,416.76801443099976,268435456,0.5844186670833402
3,32768,2048,131072,trtllm/native,warm,cuda-event,435.25728076696396,432.5439929962158,4734778.5038316725,430.3632065653801,453.1215935945511,0,1.0
3,32768,2048,131072,flashmla-prefill/native,warm,cuda-event,591.1910420656204,600.4960238933563,3410513.8394117155,567.643192410469,605.2959769964218,0,0.720311169076171
3,32768,2048,131072,flashmla-decode/native,warm,cuda-event,854.6428817510605,848.9919900894165,2412272.464177551,815.804797410965,919.5391982793808,0,0.5094794745362202
3,32768,2048,131072,trtllm/native,cold,cuda-event,459.58880096673965,459.53600108623505,4456669.3254913865,454.68641221523285,464.0047878026962,268435456,1.0
3,32768,2048,131072,flashmla-prefill/native,cold,cuda-event,580.8774393796921,584.2559933662415,3505312.779421005,571.9024032354355,588.5152041912079,268435456,0.7865319419978537
3,32768,2048,131072,flashmla-decode/native,cold,cuda-event,836.0848009586334,828.4319937229156,2472140.158175725,814.2335802316666,864.3247812986374,268435456,0.554705762896858
3,32768,4096,131072,trtllm/native,warm,cuda-event,892.5491207838058,909.600019454956,4503078.179851376,852.7343958616257,916.4976090192795,0,1.0
3,32768,4096,131072,flashmla-prefill/native,warm,cuda-event,1223.596158027649,1228.9760112762451,3332855.9405699535,1205.3087711334229,1240.5791640281677,0,0.7401283760700673
3,32768,4096,131072,flashmla-decode/native,warm,cuda-event,1670.5324804782867,1668.608009815216,2454740.7035721927,1610.0464522838593,1808.836817741394,0,0.5451250468081394
3,32768,4096,131072,trtllm/native,cold,cuda-event,925.0051200389862,924.3199825286865,4431365.844536288,919.9552088975906,930.5871933698654,268435456,1.0
3,32768,4096,131072,flashmla-prefill/native,cold,cuda-event,1234.914243221283,1243.3760166168213,3294256.882278508,1203.21124792099,1253.4127593040466,268435456,0.7433953769220399
3,32768,4096,131072,flashmla-decode/native,cold,cuda-event,1649.4780814647675,1631.8079829216003,2510099.2536306223,1622.8111684322357,1735.1439654827118,268435456,0.5664391841457826
3,65536,512,262144,trtllm/native,warm,cuda-event,140.41440039873123,139.615997672081,3667201.528026502,139.32640254497528,141.15679487586021,0,1.0
3,65536,512,262144,flashmla-prefill/native,warm,cuda-event,179.64416086673737,179.32799458503723,2855103.583714086,178.3680021762848,181.18879422545433,0,0.7785510455026874
3,65536,512,262144,flashmla-decode/native,warm,cuda-event,222.58527994155884,222.24000096321106,2303815.684759446,221.50240242481232,223.68640452623367,0,0.6282217290630439
3,65536,512,262144,trtllm/native,cold,cuda-event,147.44095996022224,147.48799800872803,3471468.9121327754,146.1103953421116,148.12960252165794,268435456,1.0
3,65536,512,262144,flashmla-prefill/native,cold,cuda-event,186.90144032239914,186.71999871730804,2742073.712067459,186.24639585614204,188.4479969739914,268435456,0.7898885980179509
3,65536,512,262144,flashmla-decode/native,cold,cuda-event,217.7945601940155,217.76000410318375,2351212.2995616454,217.0879989862442,218.43680143356323,268435456,0.6772960838981343
3,65536,1024,262144,trtllm/native,warm,cuda-event,242.44351968169212,241.96799844503403,4231964.58449283,239.96640145778656,244.12960335612297,0,1.0
3,65536,1024,262144,flashmla-prefill/native,warm,cuda-event,325.8198416233063,325.872004032135,3142338.057058197,322.30241000652313,329.0320083498955,0,0.7425246583047158
3,65536,1024,262144,flashmla-decode/native,warm,cuda-event,440.2646401524544,438.4320080280304,2335595.8991354764,431.14878982305527,452.8016060590744,0,0.5518940086818758
3,65536,1024,262144,trtllm/native,cold,cuda-event,258.7971204519272,258.67199897766113,3958681.2799495645,256.03039115667343,261.1391916871071,268435456,1.0
3,65536,1024,262144,flashmla-prefill/native,cold,cuda-event,329.997119307518,329.8560082912445,3104384.8657013546,327.90238708257675,331.8528085947037,268435456,0.7841967175849291
3,65536,1024,262144,flashmla-decode/native,cold,cuda-event,414.60959911346436,416.78400337696075,2456908.1147623654,406.1824083328247,422.91200160980225,268435456,0.6206380208496269
3,65536,2048,262144,trtllm/native,warm,cuda-event,474.2419198155403,467.47200191020966,4381011.037305658,464.36478942632675,486.3647937774658,0,1.0
3,65536,2048,262144,flashmla-prefill/native,warm,cuda-event,673.7670367956161,676.2399971485138,3028510.6007271917,662.5872015953064,682.2400093078613,0,0.6912812076798008
3,65536,2048,262144,flashmla-decode/native,warm,cuda-event,851.0041588544846,835.8719944953918,2450135.922111326,827.5376260280609,928.777614235878,0,0.5592626681940913
3,65536,2048,262144,trtllm/native,cold,cuda-event,492.73503839969635,493.6800003051758,4148436.2314333124,486.1087992787361,497.6640045642853,268435456,1.0
3,65536,2048,262144,flashmla-prefill/native,cold,cuda-event,658.1430417299271,657.3439836502075,3115568.1818635194,652.4111926555634,672.1744269132614,268435456,0.7510223149283096
3,65536,2048,262144,flashmla-decode/native,cold,cuda-event,857.2105592489243,857.375979423523,2388683.6687179194,835.2304190397263,873.2959896326065,268435456,0.5758033956550931
3,65536,4096,262144,trtllm/native,warm,cuda-event,977.3590356111526,996.9280064105988,4108621.659398949,914.5791977643967,1021.8032538890839,0,1.0
3,65536,4096,262144,flashmla-prefill/native,warm,cuda-event,1354.2115187644958,1356.3680052757263,3019829.415076297,1335.0192368030548,1364.2559587955475,0,0.7349981734551018
3,65536,4096,262144,flashmla-decode/native,warm,cuda-event,1675.419843196869,1673.8240122795105,2447091.193548974,1643.1599736213684,1778.2559871673584,0,0.5955990588597928
3,65536,4096,262144,trtllm/native,cold,cuda-event,1008.6710405349731,1013.7919783592224,4040276.5926686414,963.137623667717,1022.3104536533356,268435456,1.0
3,65536,4096,262144,flashmla-prefill/native,cold,cuda-event,1377.2204875946045,1376.6400218009949,2975360.250417093,1365.443193912506,1388.011211156845,268435456,0.7364248912601894
3,65536,4096,262144,flashmla-decode/native,cold,cuda-event,1809.2371213436127,1627.1520256996155,2517281.6892993576,1609.5664262771606,1689.0096068382263,268435456,0.6230468710650003
3,65536,8192,262144,trtllm/native,warm,cuda-event,1995.5507266521454,2017.1200037002563,4061235.813919046,1860.0336074829102,2040.033519268036,0,1.0
3,65536,8192,262144,flashmla-prefill/native,warm,cuda-event,2828.042252063751,2847.823977470398,2876582.2834586175,2741.0128116607666,2907.758378982544,0,0.7083022053532884
3,65536,8192,262144,flashmla-decode/native,warm,cuda-event,3294.815683364868,3289.83998298645,2490090.71637687,3264.3232822418213,3334.321641921997,0,0.6131362054482528
3,65536,8192,262144,trtllm/native,cold,cuda-event,2070.5699169635773,2077.2160291671753,3943740.027504238,2001.518428325653,2100.3103137016296,268435456,1.0
3,65536,8192,262144,flashmla-prefill/native,cold,cuda-event,2818.530557155609,2820.352077484131,2904601.8989613517,2790.48330783844,2845.695972442627,268435456,0.7365094754482344
3,65536,8192,262144,flashmla-decode/native,cold,cuda-event,3277.111361026764,3268.768072128296,2506142.931904675,3261.8672251701355,3293.2655930519104,268435456,0.635473665714894
